ds,y,RegisteredCount,WeatherTemperature,WeatherType,SpecialEvent,EventName,SunsetTime
2/27/25,544,491,41,,,Sherullah Raat - 2/27,18:39
2/28/25,792,682,45,,,Sherullah Raat - 2/28,18:41
3/1/25,880,744,28,,,Sherullah Raat - 3/1,18:42
3/2/25,840,717,29,,,Sherullah Raat - 3/2,18:43
3/3/25,640,713,40,,,Sherullah Raat - 3/3,18:44
3/4/25,576,707,47,,,Sherullah Raat - 3/4,18:45
3/5/25,616,722,43,Rain,,Sherullah Raat - 3/5,18:47
3/6/25,624,711,34,,,Sherullah Raat - 3/6,18:48
3/7/25,744,822,36,,,Sherullah Raat - 3/7,18:49
3/8/25,968,939,40,,Yes,Sherullah Raat - 3/8,18:50
3/9/25,864,866,39,,,Sherullah Raat - 3/9,18:51
3/10/25,608,672,56,,,Sherullah Raat - 3/10,18:52
3/11/25,608,678,46,,,Sherullah Raat - 3/11,18:53
3/12/25,632,679,44,,,Sherullah Raat - 3/12,18:55
3/13/25,664,674,47,,,Sherullah Raat - 3/13,18:56
3/14/25,712,730,66,,,Sherullah Raat - 3/14,18:57
3/15/25,776,799,58,Rain,Yes,Sherullah Raat - 3/15,18:58
3/16/25,744,764,35,Rain,,Sherullah Raat - 3/16,18:59
3/17/25,688,714,41,,Yes,Sherullah Raat - 3/17,19:00
3/18/25,864,724,57,,Yes,Sherullah Raat - 3/18,19:01
3/19/25,544,724,43,,Yes,Sherullah Raat - 3/19,19:02
3/20/25,552,688,36,Rain,,Sherullah Raat - 3/20,19:04
3/21/25,624,766,41,,Yes,Sherullah Raat - 3/21,19:05
3/22/25,768,770,40,,Yes,Sherullah Raat - 3/22,19:06
3/23/25,536,768,43,,,Sherullah Raat - 3/23,19:07
3/24/25,600,647,49,,,Sherullah Raat - 3/24,19:08
3/25/25,576,661,52,,,Sherullah Raat - 3/25,19:09
3/26/25,592,638,52,,,Sherullah Raat - 3/26,19:10
4/25/25,504,454,61,Rain,,Urs Mubarak Syedi Abdul Qadir Hakimuddin (AQ) Niyaz,19:43
4/26/25,160,168,52,,,Urs Mubarak Syedi Bawa Mulla Khan Saheb bin Syedi Habibullah AQ (Rampura) Niyaz,19:44
5/9/25,336,303,67,,,Urs Mubarak Syedna Abduttaiyeb Zakiyuddin Aqa and Syedna Abdeali Saifuddin Aqa Niyaz,19:58
5/13/25,240,125,78,,,"16mi Raat Daris, Documentary & Niyaz",20:02
5/24/25,488,443,83,,Yes,Milad Mubarak of Syedna Taher Saifuddin RA Niyaz,20:13
6/5/25,416,542,78,,Yes,Yawmul Arafa and Eidul Adha (Day 1),20:23
6/6/25,544,647,77,,Yes,Yawmul Arafa and Eidul Adha (Day 2),20:23
6/12/25,256,250,75,,,"16mi Raat Daris, Documentary & Niyaz",20:27
6/14/25,344,475,75,,Yes,Eid-e-Gadheer-e-Khum,20:28
6/25/25,216,248,91,Rain,Yes,Ashara 1447H/2025 - Niyaz,20:30
6/26/25,328,358,95,,Yes,Ashara 1447H/2025 - Niyaz,20:30
6/27/25,536,444,87,,Yes,Ashara 1447H/2025 - Niyaz,20:30
6/28/25,664,562,90,,Yes,Ashara 1447H/2025 - Niyaz,20:30
6/29/25,720,591,91,Rain,Yes,Ashara 1447H/2025 - Niyaz,20:30
6/30/25,552,518,89,,Yes,Ashara 1447H/2025 - Niyaz,20:30
7/1/25,568,550,86,,Yes,Ashara 1447H/2025 - Niyaz,20:30
7/2/25,616,574,88,,Yes,Ashara 1447H/2025 - Niyaz,20:30
7/3/25,712,618,91,,Yes,Ashara 1447H/2025 - Niyaz,20:30
7/4/25,768,676,90,,Yes,Ashara 1447H/2025 - Niyaz,20:29
7/6/25,,343,85,Rain,,Imam Hussain (AS) Soyum Majlis,20:29
7/10/25,,362,85,Rain,,Imam Husain (AS) Ladies Majlis and Syedna Hatim bin Ibrahim Urs Raat Majlis,20:27
7/17/25,,168,74,,,"Imam Husain (AS) Ladies Majlis, Muzakarat & Matam Majlis",20:23
7/18/25,,454,83,,,Urs Mubarak Majlis Syedi Hasanfeer Shaheed AQ Niyaz,20:22
7/22/25,552,558,82,,Yes,Urs Mubarak Majlis for Syedi Fakhruddin Shaheed AQ (Galiyakot) Niyaz,20:19
7/24/25,,140,76,Rain,,"Imam Husain (AS) Ladies Majlis, Muzakarat & Matam Majlis",20:17
7/31/25,,188,82,Rain,,"Imam Husain (AS) Ladies Majlis, Muzakarat & Matam Majlis",20:10
